series,tte_window,dist_bps_max,min_edge,price_window,max_spread_cents,min_volume,side_mode,exit_mode,stop_loss_cents,take_profit_cents,time_exit_minutes_before_expiry,trade_count,win_rate,avg_win_cents,avg_loss_cents,total_pnl_cents,sharpe_like,max_consecutive_losses,avg_hold_minutes,yes_trade_count,no_trade_count
KXBTC15M,4-6,100.0,0.08,30-70,8,0,best_edge,hold,,,,61,54.1,40.1818,-59.8214,-349.0,-0.112655,5,5.5775,32,29
KXBTC15M,4-6,200.0,0.08,30-70,8,0,best_edge,hold,,,,61,54.1,40.1818,-59.8214,-349.0,-0.112655,5,5.5775,32,29
KXBTC15M,4-6,300.0,0.08,30-70,8,0,best_edge,hold,,,,61,54.1,40.1818,-59.8214,-349.0,-0.112655,5,5.5775,32,29
KXBTC15M,2-4,100.0,0.02,30-70,4,0,yes_only,hold,,,,33,54.55,38.5,-58.5333,-185.0,-0.1138,3,3.6878,33,0
KXBTC15M,2-4,200.0,0.02,30-70,4,0,yes_only,hold,,,,33,54.55,38.5,-58.5333,-185.0,-0.1138,3,3.6878,33,0
KXBTC15M,2-4,300.0,0.02,30-70,4,0,yes_only,hold,,,,33,54.55,38.5,-58.5333,-185.0,-0.1138,3,3.6878,33,0
KXBTC15M,2-4,100.0,0.05,30-70,8,0,yes_only,hold,,,,33,54.55,38.6667,-58.8,-186.0,-0.11394,3,3.6871,33,0
KXBTC15M,2-4,200.0,0.05,30-70,8,0,yes_only,hold,,,,33,54.55,38.6667,-58.8,-186.0,-0.11394,3,3.6871,33,0
KXBTC15M,2-4,300.0,0.05,30-70,8,0,yes_only,hold,,,,33,54.55,38.6667,-58.8,-186.0,-0.11394,3,3.6871,33,0
KXBTC15M,8-12,100.0,0.08,40-60,4,0,yes_only,time_exit,,,2.0,59,49.15,31.4828,-39.3333,-267.0,-0.115403,4,8.8114,59,0
KXBTC15M,8-12,100.0,0.08,40-60,8,0,yes_only,time_exit,,,2.0,59,49.15,31.4828,-39.3333,-267.0,-0.115403,4,8.8114,59,0
KXBTC15M,8-12,200.0,0.08,40-60,4,0,yes_only,time_exit,,,2.0,59,49.15,31.4828,-39.3333,-267.0,-0.115403,4,8.8114,59,0
KXBTC15M,8-12,200.0,0.08,40-60,8,0,yes_only,time_exit,,,2.0,59,49.15,31.4828,-39.3333,-267.0,-0.115403,4,8.8114,59,0
KXBTC15M,8-12,300.0,0.08,40-60,4,0,yes_only,time_exit,,,2.0,59,49.15,31.4828,-39.3333,-267.0,-0.115403,4,8.8114,59,0
KXBTC15M,8-12,300.0,0.08,40-60,8,0,yes_only,time_exit,,,2.0,59,49.15,31.4828,-39.3333,-267.0,-0.115403,4,8.8114,59,0
