series,tte_window,dist_bps_max,min_edge,price_window,max_spread_cents,min_volume,side_mode,exit_mode,stop_loss_cents,take_profit_cents,time_exit_minutes_before_expiry,trade_count,win_rate,avg_win_cents,avg_loss_cents,total_pnl_cents,sharpe_like,max_consecutive_losses,avg_hold_minutes,yes_trade_count,no_trade_count
KXBTCD,5-10,200.0,0.02,40-60,8,0,best_edge,stop,10.0,,,76,15.79,48.0833,-17.9844,-574.0,-0.277876,16,3.1349,45,31
KXBTCD,5-10,350.0,0.02,40-60,8,0,best_edge,stop,10.0,,,76,15.79,48.0833,-17.9844,-574.0,-0.277876,16,3.1349,45,31
KXBTCD,5-10,500.0,0.02,40-60,8,0,best_edge,stop,10.0,,,76,15.79,48.0833,-17.9844,-574.0,-0.277876,16,3.1349,45,31
KXBTCD,5-10,200.0,0.05,40-60,8,0,no_only,time_exit,,,5.0,64,34.38,18.2727,-19.5238,-418.0,-0.27889,9,3.183,0,64
KXBTCD,5-10,350.0,0.05,40-60,8,0,no_only,time_exit,,,5.0,64,34.38,18.2727,-19.5238,-418.0,-0.27889,9,3.183,0,64
KXBTCD,5-10,500.0,0.05,40-60,8,0,no_only,time_exit,,,5.0,64,34.38,18.2727,-19.5238,-418.0,-0.27889,9,3.183,0,64
KXBTCD,30-45,200.0,0.02,30-70,8,0,yes_only,take_profit,,8.0,,42,71.43,10.6333,-57.3333,-369.0,-0.279164,6,19.0858,42,0
KXBTCD,30-45,350.0,0.02,30-70,8,0,yes_only,take_profit,,8.0,,42,71.43,10.6333,-57.3333,-369.0,-0.279164,6,19.0858,42,0
KXBTCD,30-45,500.0,0.02,30-70,8,0,yes_only,take_profit,,8.0,,42,71.43,10.6333,-57.3333,-369.0,-0.279164,6,19.0858,42,0
KXBTCD,30-45,200.0,0.05,30-70,8,0,yes_only,stop_take_profit,10.0,8.0,,42,40.48,10.2941,-12.56,-139.0,-0.279256,6,2.4767,42,0
KXBTCD,30-45,350.0,0.05,30-70,8,0,yes_only,stop_take_profit,10.0,8.0,,42,40.48,10.2941,-12.56,-139.0,-0.279256,6,2.4767,42,0
KXBTCD,30-45,500.0,0.05,30-70,8,0,yes_only,stop_take_profit,10.0,8.0,,42,40.48,10.2941,-12.56,-139.0,-0.279256,6,2.4767,42,0
KXBTCD,30-45,200.0,0.02,30-70,8,0,yes_only,stop_take_profit,10.0,8.0,,42,40.48,10.2941,-12.6,-140.0,-0.280923,6,2.4849,42,0
KXBTCD,30-45,350.0,0.02,30-70,8,0,yes_only,stop_take_profit,10.0,8.0,,42,40.48,10.2941,-12.6,-140.0,-0.280923,6,2.4849,42,0
KXBTCD,30-45,500.0,0.02,30-70,8,0,yes_only,stop_take_profit,10.0,8.0,,42,40.48,10.2941,-12.6,-140.0,-0.280923,6,2.4849,42,0
KXBTCD,30-45,200.0,0.02,30-70,4,0,yes_only,stop_take_profit,10.0,8.0,,42,40.48,10.3529,-12.68,-141.0,-0.280981,6,2.6612,42,0
KXBTCD,30-45,200.0,0.05,30-70,4,0,yes_only,stop_take_profit,10.0,8.0,,42,40.48,10.3529,-12.68,-141.0,-0.280981,6,2.6543,42,0
KXBTCD,30-45,350.0,0.02,30-70,4,0,yes_only,stop_take_profit,10.0,8.0,,42,40.48,10.3529,-12.68,-141.0,-0.280981,6,2.6612,42,0
KXBTCD,30-45,350.0,0.05,30-70,4,0,yes_only,stop_take_profit,10.0,8.0,,42,40.48,10.3529,-12.68,-141.0,-0.280981,6,2.6543,42,0
KXBTCD,30-45,500.0,0.02,30-70,4,0,yes_only,stop_take_profit,10.0,8.0,,42,40.48,10.3529,-12.68,-141.0,-0.280981,6,2.6612,42,0
KXBTCD,30-45,500.0,0.05,30-70,4,0,yes_only,stop_take_profit,10.0,8.0,,42,40.48,10.3529,-12.68,-141.0,-0.280981,6,2.6543,42,0
KXBTCD,30-45,200.0,0.05,30-70,4,0,yes_only,time_exit,,,5.0,42,47.62,30.9,-51.5909,-517.0,-0.284872,8,33.6351,42,0
KXBTCD,30-45,350.0,0.05,30-70,4,0,yes_only,time_exit,,,5.0,42,47.62,30.9,-51.5909,-517.0,-0.284872,8,33.6351,42,0
KXBTCD,30-45,500.0,0.05,30-70,4,0,yes_only,time_exit,,,5.0,42,47.62,30.9,-51.5909,-517.0,-0.284872,8,33.6351,42,0
KXBTCD,5-10,200.0,0.02,40-60,4,0,best_edge,stop,10.0,,,76,15.79,48.5,-18.5469,-605.0,-0.286964,16,3.2174,45,31
KXBTCD,5-10,350.0,0.02,40-60,4,0,best_edge,stop,10.0,,,76,15.79,48.5,-18.5469,-605.0,-0.286964,16,3.2174,45,31
KXBTCD,5-10,500.0,0.02,40-60,4,0,best_edge,stop,10.0,,,76,15.79,48.5,-18.5469,-605.0,-0.286964,16,3.2174,45,31
KXBTCD,30-45,200.0,0.02,30-70,4,0,yes_only,time_exit,,,5.0,42,47.62,30.7,-51.5909,-521.0,-0.28758,8,33.6472,42,0
KXBTCD,30-45,350.0,0.02,30-70,4,0,yes_only,time_exit,,,5.0,42,47.62,30.7,-51.5909,-521.0,-0.28758,8,33.6472,42,0
KXBTCD,30-45,500.0,0.02,30-70,4,0,yes_only,time_exit,,,5.0,42,47.62,30.7,-51.5909,-521.0,-0.28758,8,33.6472,42,0
KXBTCD,30-45,200.0,0.05,30-70,8,0,yes_only,time_exit,,,5.0,42,47.62,30.85,-51.9091,-525.0,-0.288166,8,33.6751,42,0
KXBTCD,30-45,350.0,0.05,30-70,8,0,yes_only,time_exit,,,5.0,42,47.62,30.85,-51.9091,-525.0,-0.288166,8,33.6751,42,0
KXBTCD,30-45,500.0,0.05,30-70,8,0,yes_only,time_exit,,,5.0,42,47.62,30.85,-51.9091,-525.0,-0.288166,8,33.6751,42,0
KXBTCD,5-10,200.0,0.08,30-70,8,0,best_edge,stop,10.0,,,110,20.91,37.913,-20.4138,-904.0,-0.288591,14,4.1421,56,54
KXBTCD,5-10,350.0,0.08,30-70,8,0,best_edge,stop,10.0,,,110,20.91,37.913,-20.4138,-904.0,-0.288591,14,4.1421,56,54
KXBTCD,5-10,500.0,0.08,30-70,8,0,best_edge,stop,10.0,,,110,20.91,37.913,-20.4138,-904.0,-0.288591,14,4.1421,56,54
KXBTCD,30-45,200.0,0.05,30-70,8,0,yes_only,fair_value,,,,42,61.9,18.5769,-61.25,-497.0,-0.289205,8,29.6329,42,0
KXBTCD,30-45,350.0,0.05,30-70,8,0,yes_only,fair_value,,,,42,61.9,18.5769,-61.25,-497.0,-0.289205,8,29.6329,42,0
KXBTCD,30-45,500.0,0.05,30-70,8,0,yes_only,fair_value,,,,42,61.9,18.5769,-61.25,-497.0,-0.289205,8,29.6329,42,0
KXBTCD,5-10,200.0,0.02,30-70,8,0,best_edge,stop,10.0,,,110,20.91,37.913,-20.4713,-909.0,-0.290128,14,4.1171,56,54
