market_ticker,snapshot_count,avg_gap_seconds,min_gap_seconds,max_gap_seconds
KXBTCD-26APR0219-T69099.99,1311,1.601502688034721,0.0,6.142996251583099
KXBTCD-26APR0219-T68799.99,1311,1.601502688034721,0.0,6.142996251583099
KXBTCD-26APR0218-T66299.99,1311,1.5985637050744326,0.0,28.000009059906006
KXBTCD-26APR0219-T69599.99,1310,1.6027252091706254,0.0,6.142996251583099
KXBTCD-26APR0219-T69299.99,1310,1.6027252091706254,0.0,6.142996251583099
KXBTCD-26APR0222-T67099.99,1307,1.6052945844070914,0.0,11.862015724182129
KXBTCD-26APR0221-T67299.99,1307,1.6254223569623367,0.0,27.876010537147522
KXBTCD-26APR0219-T68499.99,1307,1.6064039969499,0.0,6.142996251583099
KXBTCD-26APR0220-T66299.99,1303,1.6150882574840408,0.0,6.360013782978058
KXBTCD-26APR0219-T68299.99,1298,1.617542391381756,0.0,6.142996251583099
KXBTCD-26APR0300-T66499.99,1297,1.201564382615233,0.0,10.081981122493744
KXBTCD-26APR0220-T66199.99,1295,1.6250656366808534,0.0,6.360013782978058
KXBTCD-26APR0222-T65999.99,1294,1.621421964312263,0.0,11.862015724182129
KXBTCD-26APR0219-T65099.99,1292,1.6250541981528788,0.0,6.142996251583099
KXBTCD-26APR0219-T68199.99,1291,1.626312954309465,0.0,6.142996251583099
KXBTCD-26APR0219-T64999.99,1290,1.627573662025984,0.0,6.142996251583099
KXBTCD-26APR0219-T64599.99,1289,1.628836325844468,0.0,6.142996251583099
KXBTCD-26APR0220-T67399.99,1284,1.63898753855273,0.0,6.360013782978058
KXBTCD-26APR0220-T66399.99,1284,1.63898753855273,0.0,6.360013782978058
KXBTCD-26APR0219-T64799.99,1284,1.6351791464279746,0.0,6.142996251583099
KXBTCD-26APR0219-T68099.99,1283,1.6364536430346994,0.0,6.142996251583099
KXBTCD-26APR0219-T64399.99,1283,1.6364536430346994,0.0,6.142996251583099
KXBTCD-26APR0219-T64699.99,1282,1.6377301279356624,0.0,6.142996251583099
KXBTCD-26APR0219-T64499.99,1280,1.640289081260562,0.0,6.142996251583099
KXBTCD-26APR0219-T68399.99,1279,1.6415715590410627,0.0,6.142996251583099
KXBTCD-26APR0219-T65799.99,1278,1.642856043829045,0.0,6.142996251583099
KXBTCD-26APR0218-T67099.99,1278,1.6398411716373873,0.0,25.24898797273636
KXBTCD-26APR0219-T65699.99,1277,1.6441425403394827,0.0,6.142996251583099
KXBTCD-26APR0219-T65299.99,1277,1.6441425403394827,0.0,6.142996251583099
KXBTCD-26APR0219-T64899.99,1277,1.6441425403394827,0.0,6.142996251583099
KXBTCD-26MAR3115-T67499.99,1276,2.8398268099956003,0.0,151.17001086473465
KXBTCD-26APR0219-T65199.99,1275,1.6467215874615837,0.0,6.142996251583099
KXBTCD-26MAR3117-T68999.99,1274,2.828011770544097,0.0,119.68999654054642
KXBTCD-26MAR3117-T68499.99,1274,2.828011770544097,0.0,119.68999654054642
KXBTCD-26APR0220-T67899.99,1274,1.6518524328898785,0.0,6.360013782978058
KXBTCD-26APR0219-T65499.99,1273,1.6493087384238172,0.0,6.142996251583099
KXBTCD-26APR0220-T67599.99,1272,1.65444968514285,0.0,6.360013782978058
KXBTCD-26APR0219-T65399.99,1272,1.6506053647905026,0.0,6.142996251583099
KXBTCD-26APR0219-T65599.99,1271,1.651904031481919,0.0,6.142996251583099
KXBTCD-26APR0220-T67499.99,1257,1.6741925214810702,0.0,6.360013782978058
KXBTCD-26APR0220-T65999.99,1249,1.684915932347242,0.0,6.360013782978058
KXBTCD-26APR0220-T67799.99,1244,1.6916881024933321,0.0,6.360013782978058
KXBTCD-26APR0220-T67699.99,1244,1.6916881024933321,0.0,6.360013782978058
KXBTCD-26APR0222-T66099.99,1236,1.6975081082686638,0.0,11.862015724182129
KXBTCD-26MAR3117-T67499.99,1235,2.9173174054033844,0.0,119.68999654054642
KXBTCD-26APR0223-T66799.99,1235,1.7092429179894297,0.0,14.000004529953003
KXBTCD-26APR0221-T67399.99,1227,1.7313993647512422,0.0,27.876010537147522
KXBTCD-26APR0220-T68399.99,1222,1.7221440257788094,0.0,6.360013782978058
KXBTCD-26APR0221-T67899.99,1221,1.7399074697377348,0.0,27.876010537147522
KXBTCD-26APR0222-T65899.99,1220,1.7197705096885807,0.0,10.280008614063263
KXBTCD-26APR0219-T67999.99,1220,1.7209590360766551,0.0,6.142996251583099
KXBTCD-26APR0221-T66199.99,1214,1.7499398851316097,0.0,27.876010537147522
KXBTCD-26APR0220-T68999.99,1214,1.733492586080482,0.0,6.360013782978058
KXBTCD-26APR0220-T68099.99,1210,1.7392231400840539,0.0,6.360013782978058
KXBTCD-26APR0220-T68199.99,1206,1.7449917077128567,0.0,6.360013782978058
KXBTCD-26APR0301-T66399.99,1200,1.6731550097465515,0.0,54.00002896785736
KXBTCD-26APR0221-T67599.99,1199,1.7718323774393445,0.0,27.00001448392868
KXBTCD-26APR0220-T68299.99,1196,1.7595819393826966,0.0,6.360013782978058
KXBTCD-26MAR3117-T66749.99,1191,3.0250940349900755,0.0,119.68999654054642
KXBTCD-26MAR3117-T66499.99,1190,3.027636130817798,0.0,119.68999654054642
KXBTCD-26APR0220-T65899.99,1176,1.7895068022973684,0.0,6.360013782978058
KXBTCD-26APR0221-T67699.99,1174,1.8095630498720394,0.0,27.00001448392868
KXBTCD-26MAR3117-T68749.99,1171,3.0767608844348246,0.0,119.68999654054642
KXBTCD-26APR0221-T67799.99,1171,1.8141989927837525,0.0,27.00001448392868
KXBTCD-26APR0222-T67599.99,1170,1.7932649759145884,0.0,11.862015724182129
KXBTCD-26APR0222-T67499.99,1166,1.799416828319098,0.0,11.862015724182129
KXBTCD-26APR0221-T66399.99,1163,1.826678435554406,0.0,27.876010537147522
KXBTCD-26APR0220-T65799.99,1161,1.8126270452211068,0.0,6.360013782978058
KXBTCD-26APR0221-T68299.99,1159,1.832982761475215,0.0,27.00001448392868
KXBTCD-26APR0221-T65899.99,1159,1.832982761475215,0.0,27.876010537147522
KXBTCD-26APR0222-T67799.99,1157,1.813414020587786,0.0,11.862015724182129
KXBTCD-26APR0222-T65799.99,1155,1.8165541314459466,0.0,10.848985612392426
KXBTCD-26APR0221-T67499.99,1152,1.8441206775605679,0.0,27.876010537147522
KXBTCD-26MAR3117-T66249.99,1149,3.1356718848330547,0.0,119.68999654054642
KXBTCD-26APR0221-T65999.99,1149,1.848935614055504,0.0,27.876010537147522
KXBTCD-26MAR3117-T67249.99,1147,3.1411394905607493,0.0,119.68999654054642
KXBTCD-26APR0220-T69499.99,1145,1.8379563314425373,0.0,6.360013782978058
KXBTCD-26APR0220-T68799.99,1143,1.8411723530198645,0.0,6.360013782978058
KXBTCD-26APR0221-T65599.99,1140,1.8635324741664685,0.0,27.876010537147522
KXBTCD-26APR0219-T71099.99,1138,1.844964871716625,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T71499.99,1137,1.8465875321139131,0.007000565528869629,6.142996251583099
KXBTCD-26APR0219-T70799.99,1137,1.8465875321139131,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T70199.99,1137,1.8465875321139131,0.0,6.142996251583099
KXBTCD-26APR0220-T69299.99,1136,1.852517605195163,0.0,6.360013782978058
KXBTCD-26APR0220-T65199.99,1136,1.852517605195163,0.0,6.360013782978058
KXBTCD-26APR0219-T72499.99,1136,1.8482130493076754,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T71999.99,1136,1.8482130493076754,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T70599.99,1136,1.8482130493076754,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T62399.99,1136,1.8482130493076754,0.0,6.142996251583099
KXBTCD-26APR0219-T61699.99,1136,1.8482130493076754,0.0,6.142996251583099
KXBTCD-26APR0222-T67299.99,1135,1.848563895876712,0.0,11.862015724182129
KXBTCD-26APR0220-T69599.99,1135,1.8541497792966566,0.0,6.360013782978058
KXBTCD-26APR0220-T68499.99,1135,1.8541497792966566,0.0,6.360013782978058
KXBTCD-26APR0219-T72899.99,1135,1.8498414308489157,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T72699.99,1135,1.8498414308489157,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T71699.99,1135,1.8498414308489157,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T70999.99,1135,1.8498414308489157,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T62799.99,1135,1.8498414308489157,0.0010058283805847168,6.142996251583099
KXBTCD-26APR0219-T61799.99,1135,1.8498414308489157,0.0,6.142996251583099
KXBTCD-26APR0220-T69099.99,1134,1.8557848320120858,0.0,6.360013782978058
KXBTCD-26APR0220-T68599.99,1134,1.8557848320120858,0.0,6.360013782978058
KXBTCD-26APR0219-T74099.99,1134,1.8514726843152727,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T73999.99,1134,1.8514726843152727,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T72599.99,1134,1.8514726843152727,0.007000565528869629,6.142996251583099
KXBTCD-26APR0219-T72299.99,1134,1.8514726843152727,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T72099.99,1134,1.8514726843152727,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T71599.99,1134,1.8514726843152727,0.0,6.142996251583099
KXBTCD-26APR0219-T70899.99,1134,1.8514726843152727,0.0030174851417541504,6.142996251583099
KXBTCD-26APR0219-T70299.99,1134,1.8514726843152727,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T62499.99,1134,1.8514726843152727,0.004988908767700195,6.142996251583099
KXBTCD-26APR0219-T72799.99,1133,1.853106817311138,0.010983645915985107,6.0900092124938965
KXBTCD-26APR0219-T72399.99,1133,1.853106817311138,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T71899.99,1133,1.853106817311138,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T71799.99,1133,1.853106817311138,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T71299.99,1133,1.853106817311138,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T70699.99,1133,1.853106817311138,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T63499.99,1133,1.853106817311138,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T63199.99,1133,1.853106817311138,0.004988908767700195,6.142996251583099
KXBTCD-26APR0219-T63099.99,1133,1.853106817311138,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T62899.99,1133,1.853106817311138,0.0,6.142996251583099
KXBTCD-26APR0219-T62699.99,1133,1.853106817311138,0.004988908767700195,6.142996251583099
KXBTCD-26APR0219-T62299.99,1133,1.853106817311138,0.004988908767700195,6.142996251583099
KXBTCD-26APR0219-T62199.99,1133,1.853106817311138,0.004988908767700195,6.142996251583099
KXBTCD-26APR0219-T61899.99,1133,1.853106817311138,0.0,6.142996251583099
KXBTCD-26APR0219-T61399.99,1133,1.853106817311138,0.010983645915985107,6.142996251583099
KXBTCD-26APR0221-T66299.99,1132,1.8767023149732986,0.0,27.00001448392868
KXBTCD-26APR0220-T68699.99,1132,1.859063603800093,0.0,6.360013782978058
KXBTCD-26APR0219-T74199.99,1132,1.8547438374677732,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T73899.99,1132,1.8547438374677732,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T73799.99,1132,1.8547438374677732,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T73699.99,1132,1.8547438374677732,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T73599.99,1132,1.8547438374677732,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T73499.99,1132,1.8547438374677732,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T73399.99,1132,1.8547438374677732,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T73299.99,1132,1.8547438374677732,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T73199.99,1132,1.8547438374677732,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T73099.99,1132,1.8547438374677732,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T72999.99,1132,1.8547438374677732,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T72199.99,1132,1.8547438374677732,0.004988908767700195,6.142996251583099
KXBTCD-26APR0219-T71399.99,1132,1.8547438374677732,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T70499.99,1132,1.8547438374677732,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T70399.99,1132,1.8547438374677732,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T63399.99,1132,1.8547438374677732,0.004988908767700195,6.142996251583099
KXBTCD-26APR0219-T63299.99,1132,1.8547438374677732,0.0,6.142996251583099
KXBTCD-26APR0219-T62999.99,1132,1.8547438374677732,0.004988908767700195,6.142996251583099
KXBTCD-26APR0219-T62599.99,1132,1.8547438374677732,0.004988908767700195,6.142996251583099
KXBTCD-26APR0219-T62099.99,1132,1.8547438374677732,0.004988908767700195,6.142996251583099
KXBTCD-26APR0219-T61599.99,1132,1.8547438374677732,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T61299.99,1132,1.8547438374677732,0.0,6.142996251583099
KXBTCD-26MAR3116-T68199.99,1131,2.1217250144133835,0.0,63.34497928619385
KXBTCD-26APR0220-T69199.99,1131,1.860707338197794,0.0,6.360013782978058
KXBTCD-26APR0219-T71199.99,1131,1.85638375244343,0.010983645915985107,6.142996251583099
KXBTCD-26APR0219-T69999.99,1131,1.85638375244343,0.010983645915985107,6.142996251583099
