ticker,open_time,close_time,entry_time,floor_strike,expiration_value,result,actual,volume,tte_minutes,tte_at_entry_min,spot_at_entry,vol_at_entry,model_prob_yes,edge,distance_bps,near_money,filter_near_money,filter_low_edge,any_filter,would_trade
KXBTC15M-26JAN100945-45,2026-01-10 14:30:00+00:00,2026-01-10 14:45:00+00:00,2026-01-10 14:31:00+00:00,90500.17,,no,0,6790.0,15.0,14,90469.01,0.15451346234940577,0.33278493439208523,-0.16721506560791477,-3.4442733484099683,True,True,False,True,False
KXBTC15M-26JAN101000-00,2026-01-10 14:45:00+00:00,2026-01-10 15:00:00+00:00,2026-01-10 14:46:00+00:00,90448.54,,yes,1,5181.0,15.0,14,90455.7,0.15451346234940577,0.5393773653023006,0.039377365302300626,0.791547685773643,True,True,True,True,False
KXBTC15M-26JAN101015-15,2026-01-10 15:00:00+00:00,2026-01-10 15:15:00+00:00,2026-01-10 15:01:00+00:00,90474.77,,yes,1,6599.0,15.0,14,90494.59,0.10144194272571715,0.6620709932203412,0.16207099322034124,2.1901861757694503,True,True,False,True,False
KXBTC15M-26JAN101030-30,2026-01-10 15:15:00+00:00,2026-01-10 15:30:00+00:00,2026-01-10 15:16:00+00:00,90514.02,,no,0,16699.0,15.0,14,90512.17,0.10144194272571715,0.4843250183569371,-0.015674981643062913,-0.2043924038066727,True,True,True,True,False
KXBTC15M-26JAN101045-45,2026-01-10 15:30:00+00:00,2026-01-10 15:45:00+00:00,2026-01-10 15:31:00+00:00,90483.89,,yes,1,6430.0,15.0,14,90484.4,0.10144194272571715,0.5041903987756863,0.004190398775686277,0.05636330682358079,True,True,True,True,False
KXBTC15M-26JAN101100-00,2026-01-10 15:45:00+00:00,2026-01-10 16:00:00+00:00,2026-01-10 15:46:00+00:00,90523.31,,yes,1,10407.0,15.0,14,90508.71,0.10144194272571715,0.37890842910990075,-0.12109157089009925,-1.6131044183472802,True,True,False,True,False
KXBTC15M-26JAN101115-15,2026-01-10 16:00:00+00:00,2026-01-10 16:15:00+00:00,2026-01-10 16:01:00+00:00,90541.62,,yes,1,8893.0,15.0,14,90536.88,0.10104206206324114,0.4599127152759008,-0.040087284724099226,-0.5235435548464544,True,True,True,True,False
KXBTC15M-26JAN101130-30,2026-01-10 16:15:00+00:00,2026-01-10 16:30:00+00:00,2026-01-10 16:16:00+00:00,90560.46,,no,0,8546.0,15.0,14,90500.06,0.10104206206324114,0.10033311963342784,-0.39966688036657216,-6.67402872440181,True,True,False,True,False
KXBTC15M-26JAN101145-45,2026-01-10 16:30:00+00:00,2026-01-10 16:45:00+00:00,2026-01-10 16:31:00+00:00,90529.01,,yes,1,8927.0,15.0,14,90486.73,0.10104206206324114,0.18511068841885558,-0.3148893115811444,-4.672508333542259,True,True,False,True,False
KXBTC15M-26JAN101200-00,2026-01-10 16:45:00+00:00,2026-01-10 17:00:00+00:00,2026-01-10 16:46:00+00:00,90573.65,,no,0,17654.0,15.0,14,90573.1,0.10104206206324114,0.49525057894073754,-0.00474942105926246,-0.06072443142482243,True,True,True,True,False
KXBTC15M-26JAN101215-15,2026-01-10 17:00:00+00:00,2026-01-10 17:15:00+00:00,2026-01-10 17:01:00+00:00,90558.96,,yes,1,6968.0,15.0,14,90578.6,0.09481928813204105,0.6710752074857911,0.17107520748579108,2.1682825744711685,True,True,False,True,False
KXBTC15M-26JAN101230-30,2026-01-10 17:15:00+00:00,2026-01-10 17:30:00+00:00,2026-01-10 17:16:00+00:00,90591.13,,yes,1,9883.0,15.0,14,90593.46,0.09481928813204105,0.5208601317572941,0.020860131757294065,0.25719295852059804,True,True,True,True,False
KXBTC15M-26JAN101245-45,2026-01-10 17:30:00+00:00,2026-01-10 17:45:00+00:00,2026-01-10 17:31:00+00:00,90619.07,,no,0,12158.0,15.0,14,90589.12,0.09481928813204105,0.24960601275284844,-0.25039398724715156,-3.3061365426677773,True,True,False,True,False
KXBTC15M-26JAN101300-00,2026-01-10 17:45:00+00:00,2026-01-10 18:00:00+00:00,2026-01-10 17:46:00+00:00,90544.32,,no,0,6781.0,15.0,14,90484.91,0.09481928813204105,0.08988090222115036,-0.41011909777884964,-6.565735656918208,True,True,False,True,False
KXBTC15M-26JAN101315-15,2026-01-10 18:00:00+00:00,2026-01-10 18:15:00+00:00,2026-01-10 18:01:00+00:00,90433.14,,no,0,12331.0,15.0,14,90457.82,0.09300305290226316,0.7150682404663258,0.21506824046632578,2.7283434422814485,True,True,False,True,False
KXBTC15M-26JAN101330-30,2026-01-10 18:15:00+00:00,2026-01-10 18:30:00+00:00,2026-01-10 18:16:00+00:00,90417.68,,yes,1,7913.0,15.0,14,90412.07,0.09300305290226316,0.44847803753759624,-0.05152196246240376,-0.6204923745232279,True,True,False,True,False
KXBTC15M-26JAN101345-45,2026-01-10 18:30:00+00:00,2026-01-10 18:45:00+00:00,2026-01-10 18:31:00+00:00,90458.19,,yes,1,11645.0,15.0,14,90459.98,0.09300305290226316,0.5163463255840481,0.016346325584048138,0.19787755867219928,True,True,True,True,False
KXBTC15M-26JAN101400-00,2026-01-10 18:45:00+00:00,2026-01-10 19:00:00+00:00,2026-01-10 18:46:00+00:00,90474.37,,no,0,22742.0,15.0,14,90469.97,0.09300305290226316,0.45955213882826906,-0.04044786117173094,-0.4863492272622815,True,True,True,True,False
KXBTC15M-26JAN101415-15,2026-01-10 19:00:00+00:00,2026-01-10 19:15:00+00:00,2026-01-10 19:01:00+00:00,90473.21,,no,0,12182.0,15.0,14,90471.71,0.09343716606279523,0.4861905217303732,-0.013809478269626807,-0.16579768416005403,True,True,True,True,False
KXBTC15M-26JAN101430-30,2026-01-10 19:15:00+00:00,2026-01-10 19:30:00+00:00,2026-01-10 19:16:00+00:00,90465.02,,yes,1,10049.0,15.0,14,90463.77,0.09343716606279523,0.4884743552333008,-0.011525644766699206,-0.13817686351121558,True,True,True,True,False
KXBTC15M-26JAN101445-45,2026-01-10 19:30:00+00:00,2026-01-10 19:45:00+00:00,2026-01-10 19:31:00+00:00,90482.96,,yes,1,8964.0,15.0,14,90488.0,0.09343716606279523,0.5458814763093868,0.04588147630938677,0.5569799310398723,True,True,True,True,False
KXBTC15M-26JAN101500-00,2026-01-10 19:45:00+00:00,2026-01-10 20:00:00+00:00,2026-01-10 19:46:00+00:00,90508.62,,no,0,10660.0,15.0,14,90495.92,0.09343716606279523,0.38543467311735014,-0.11456532688264986,-1.403378185447155,True,True,False,True,False
KXBTC15M-26JAN101515-15,2026-01-10 20:00:00+00:00,2026-01-10 20:15:00+00:00,2026-01-10 20:01:00+00:00,90507.41,,yes,1,13184.0,15.0,14,90504.02,0.09376901034643317,0.4690573441378643,-0.030942655862135682,-0.37456899704559177,True,True,True,True,False
KXBTC15M-26JAN101530-30,2026-01-10 20:15:00+00:00,2026-01-10 20:30:00+00:00,2026-01-10 20:16:00+00:00,90538.81,,no,0,17200.0,15.0,14,90534.86,0.09376901034643317,0.46398701142229076,-0.03601298857770924,-0.43629603005926,True,True,True,True,False
KXBTC15M-26JAN101545-45,2026-01-10 20:30:00+00:00,2026-01-10 20:45:00+00:00,2026-01-10 20:31:00+00:00,90523.91,,no,0,5453.0,15.0,14,90521.96,0.09376901034643317,0.48215157563884453,-0.017848424361155468,-0.21541734182480024,True,True,True,True,False
